country,review_id,author,rating,title,review_text,date,app_version
au,14341812845,Navaraj_Sarobar_Giri,1,Bull**t App,I wouldn’t recommend this rubbish to anyone. I tried to setup the account but it’s been more than a week doesn’t accept the documents.,2026-07-24T02:42:30-07:00,5.5.43
au,14325180786,Anish9879876,1,Toll Free Response,"0 responsiveness. The only automation they have while calling is the system operator who asks to wait in the queue. Once the turn is finally there after waiting for such long duration, there’s no real person to talk to who speaks and resolves the issue. It’s basically a blank system. From such a big giant company, this is something intolerant. I have faced this issue not only once but multiple times. It is understandable sometimes, however they are consistent in non improvising the service.",2026-07-19T23:08:22-07:00,5.5.43
co,14361575785,Arnolpunnnn,5,Hi,Keep it up,2026-07-29T01:14:53-07:00,5.5.43
co,14309181072,sandeshlopchan,1,Why my money does not go to other person,So irritating this if you slove this problem i will give 5 star,2026-07-16T00:15:11-07:00,5.5.42
co,14308807598,lenish malla,5,very good,wow,2026-07-15T21:34:08-07:00,5.5.42
co,14306095879,sarojxettri,5,Nice,Best app for money transfer,2026-07-15T06:08:38-07:00,5.5.42
co,14306008742,aasthan,5,Good,Good work,2026-07-15T05:42:57-07:00,5.5.42
co,14283561691,aisibee,1,Server always down,Server always down,2026-07-09T14:10:47-07:00,5.5.42
in,14321628648,boney 3936,3,Hj,Ok,2026-07-19T02:13:08-07:00,5.5.43
in,14305118390,sagar.krl,1,6 momths vayo KYC verify garna try gareko,"ajhai kati time lagne ho, Laaj saram cha ki chaina?",2026-07-15T00:09:08-07:00,5.5.42
kr,14293047995,Kukhyat92,1,Customer service poor,They didn't have customer support,2026-07-11T23:40:37-07:00,5.5.42
np,14365340341,Jeaosnurjdbdukejs,4,Good till now.,Rewards point should be more fruitful,2026-07-29T23:19:21-07:00,5.5.43
np,14365039881,sindiyarai,5,nice,excellent,2026-07-29T21:12:15-07:00,5.5.43
np,14364908749,bishal bro,5,Good,Nice,2026-07-29T20:19:42-07:00,5.5.43
np,14361892036,Rojrajesh,4,Review,Great experience,2026-07-29T03:21:04-07:00,5.5.43
np,14361702309,Bhada majne,3,Esewa,It a good appo but sometimes it willl make me wash dishes at some point,2026-07-29T02:06:44-07:00,5.5.43
np,14357589521,Kirshboy,3,Best payment,Overal good app,2026-07-28T01:47:14-07:00,5.5.43
np,14353568024,Iusedtoloveminimilitia,5,Yep,Yep,2026-07-27T02:06:28-07:00,5.5.43
np,14353346426,Unlky boy,5,Ashish,Das,2026-07-27T00:34:29-07:00,5.5.43
np,14349841800,Md__aryan,1,bank transfer problems,Problem in transferring money to bank,2026-07-26T03:34:59-07:00,5.5.43
np,14345944628,twentytwo bullets,5,Rating,No issues at all and really satisfied with the service and it’s reliable app✌️,2026-07-25T03:36:06-07:00,5.5.43
np,14342253345,iksha777,1,most money hungry app,"this is so funny suruma esewa use garnu thaleko transection fee lagdaina vanera , bank ma pathauda katyo thekai cha esewa to esewa ni 10 rs charge katne 50rs ko chips khada 10rs tirnu parne din ko 50-60rs ta esewa ly tirnu parcha im switching to other apps now",2026-07-24T05:18:24-07:00,5.5.43
