country,review_id,author,rating,title,review_text,date,app_version
au,10074102595,RupakKhadka,1,Terrible Customer Service,"If you have esewa account and living outside Nepal, Your account will be locked by automated password expiry in 6 mths. When you try to contact esewa to resolve this issue, this is certainly impossible (100%) because they have one of the worst customer service in IT industry. Never gonna use this platform again. IME Pay is 1000 times better than esewa.",2023-06-26T04:41:52-07:00,5.3.42
ca,10082978541,Ahsinam07,1,Scam,This app and Esewa itself is a scam. It will automatically log you out of the app and there is no way to get your money back. I definitely will not recommend this Service at all.,2023-06-28T14:54:13-07:00,5.3.43
ca,10016542501,Atomic khadka,1,Worst costumers service,"It been more than a 2 week I have been waiting for the ticket number, as i keep on calling the costumer service every day they keep on saying someone will contact you to provide you the ticket number with in 24 hours but I don’t how esewa calculate there 24 hours",2023-06-09T12:10:44-07:00,5.3.42
fr,10057940437,explorer_santosh,1,Worst Service,Lazy employees who don’t do their job properly. Open an account and it’s been a week and they can’t activate the account. You’re allowed to bring your money in but can’t do anything after that being blocked by KYC. They ask to send the documents through Viber and keep asking the same things. They close their support tickets as solved without solving issues. Worst services in the world I would say. If there were negative stars I would give them  -10 out of 10. Don’t use their service. Better use banking services.,2023-06-21T11:49:59-07:00,5.3.42
kr,10012171342,Jay raj 4),1,"Not recommended, its very bad experience, not safe your money","Not recommended, its very bad experience, not safe your money",2023-06-08T06:46:08-07:00,5.3.42
ae,10057744899,luca d gamr,1,Can’t connect in Dubai,Worst  service  i had account in esewa and tried to open here in Dubai with new  phone but can’t i tried to clswnd email to esewa but email aslo not goin tried to msg in viber group no response worst  service ever,2023-06-21T10:36:30-07:00,5.3.42
gb,10061818495,YoursPravin,1,highly not recommended,worst wallet,2023-06-22T13:56:41-07:00,5.3.42
us,10060799036,PraCaptain,1,Worst app,"Khalti is far better than esewa.. Esewa always have server problem.. Jaba paisa tirna lagyo, Jaile service not available .. uninstalling esewa and switching to khalti",2023-06-22T07:40:41-07:00,5.3.42
us,10001743150,Kukumyra,4,Crash,ESewa i not working  after new update in iOS,2023-06-05T06:11:15-07:00,5.3.42
np,10087721616,----------------$@-@/$838,1,Worst app,Worst app I got my 36000 blocked and got holdup for no reason and now they are not responding  .The reason I got blocked was I didn’t filled KYC form and  the amazing thing is that they themselves haven’t mentioned any where that without KYC  verification you  cannot load  more than what ever dame limit.They will give your what ever blay blay ways to unblock but in fact all of them are waste of time. You guys don’t really care what the customer is suffering from beside that your guys give them your nonsense ways to unblock,2023-06-30T00:11:25-07:00,5.3.43
np,10087495007,Hreenaa,1,Poor app,"After 2,3 attempts they deactivate us and doesn’t give service i have lost my money here They doesn’t give good service they doesn’t send message for verification more than 1 time",2023-06-29T22:25:54-07:00,5.3.43
np,10076754961,sanu_manxe,1,Poor service,Mero ac ko 10k amount pending xa when i try to contact no one is responding eswa le dherai kamauna thalexa tyahi vaera afna customer haru ko issue ignore gareko hola yaha no rating ko ni option huna paryo,2023-06-26T22:09:01-07:00,5.3.43
np,10071353997,SijanMgr,1,Payment issue.,Today i tried to pay in cafe by scanning a qr but it did not worked i had no money in pocket too it was very very weird situation I had to call my sister for the money. Please fix your payment! it sometime works it sometime doesnt WHAT IS THIS,2023-06-25T08:21:43-07:00,5.3.42
np,10062897092,Goluu00067,1,Say no to esewaaa,Na ta care support xa msg ko respond ni xaina garna khojeko k hooo sathiiiii darta hain kyaaa laajh saram navako,2023-06-22T22:11:31-07:00,5.3.42
np,10062837023,arbiggyan,1,Very Bad Costumer care service,"I tried to pay to a merchent and the payment is in pending state, tried to contact costumer care service but they don’t have any response. May be i tried to call like 50 times their phone is always busy and the mobile number provided in app doesnot answer",2023-06-22T21:43:34-07:00,5.3.42
np,10059181359,Tinctoo,1,This app is irritating me,My id has been blocked for like ages ..I have been trying reaching the e sewa service but they are not even picking up the call nor replying the message.. My money has been stucked in this mfing app 😡🤬,2023-06-21T20:52:12-07:00,5.3.42
np,10018466758,Bj22.,1,Very Bad experience in this app,I had try many times to link my bank account to esewa ID it always say not verified and they charge Rs 10 rupess above 100 also this is very bad for me and to another also. Why you are charging RS 10 in small amount also ( 100 ) ? You should improve it . ❌❌,2023-06-10T02:32:46-07:00,5.3.42
np,10004441378,Esewa is ess sewa,1,Worst app esewa,Chaiye ko bela kailey pani chaldaina jailey out of service rey,2023-06-06T01:10:04-07:00,5.3.42
np,9995879768,Giant472Bouncy,1,Esewa wrong,At 1 pm i have transactions mone some one for buying goods but actually app did not open by telling something wrong my device without any reason i could not open app and i have to sleep by not eating from now i will stop useing esewa,2023-06-03T12:20:13-07:00,5.3.42
np,9987443121,U N K N O W N ツ,1,Stuck at sms verification,I’m trying to login my account but it’s not scrolling down to send sms. Please fix it soon asap.,2023-06-01T04:53:31-07:00,5.3.41
