country,review_id,author,rating,title,review_text,date,app_version
au,10693285535,Samrachu,2,Too much of hassle while taking picture to verify Your KYC,Too much of hassle while taking picture to verify Your KYC. App is not supporting/not allowing us to take a picture. Hard to take a picture even following all the procedures.,2023-12-14T04:49:20-07:00,5.4.6
es,10659579527,abillllllll,1,Bad,High charge…..bad service,2023-12-05T03:37:43-07:00,5.4.4
us,10669890501,Mr_Bunny$,1,Slow service,🥲 Can’t get my OTP in time. I was in very tough situation one time due to late otp in payment line.. make it fast and quick,2023-12-08T03:11:47-07:00,5.4.5
np,10762812526,Abhi 4567,1,Not working,ESewa is not working since 2 days,2023-12-30T05:53:49-07:00,5.4.7
np,10759802930,Nut important,1,Worst app,Unable to link Nic Asia bank Although it charges every time while transferring the amount to favourite bank.,2023-12-29T10:49:37-07:00,5.4.7
np,10749402049,Refund or complete payment,1,Payment isssue,"I have peymant issue money deducted from e sewa account but not reached to its destination i have complained on facebook, and email also message on e sewa support through app but from 2 days no reply had come  e sewa stole my 850 rs i want it back",2023-12-26T20:29:12-07:00,5.4.6
np,10729955474,Kc grgn,3,Complain,"I had bought the eSewa care for my wife,but I didn’t get promo code which was told me from the eSewa staff",2023-12-21T23:19:02-07:00,5.4.6
np,10702678963,Dibashh,1,Customer looting policy,"Everytime holds customer money, even bad service. Not recommend to use. Such a bad customer care service as i have faced till now.",2023-12-16T06:16:13-07:00,5.4.6
np,10693555559,Sandesh paud,1,Very bad,1,2023-12-14T06:16:10-07:00,5.4.6
np,10690184810,Afu king,1,Scam,Yo nepal ko ghatiya mobile banking app ho  Bank transfer gara charge linxa  Aaru sewa ma poni problem xa bad bad bad app,2023-12-13T07:20:26-07:00,5.4.6
np,10681628431,OceanManTakeMeToTheLand,1,Does not ask for confirmation,"Before making any transaction it does not ask for any confirmation prompt, directly authenticates with face id and proceeds the transaction, cant even confirm the details.",2023-12-11T03:08:57-07:00,5.4.5
np,10680920913,Prashaop,3,Where is siddhartha bank,I found this app quite useful but today i had an issue of transferring money to my bank acc (siddhartha bank) other banks are included but there is no siddhartha bank. Please make sure every bank for the users.,2023-12-10T21:36:33-07:00,5.4.5
np,10677103018,no-sir-fagus,1,appearance,hope we’ll get to change our profile picture in the upcoming update v soon,2023-12-09T21:27:29-07:00,5.4.5
np,10677028132,Sun34q,1,Stupid app,Scan service not available in your region re … whats the use for digital transfer then useless app,2023-12-09T20:55:46-07:00,5.4.5
np,10665559976,Esewa_sucks,1,Bad service,says the sms code is invalid even when it isn’t,2023-12-06T20:26:53-07:00,5.4.5
np,10650538021,Ru Kesh,1,Worst App Ever.,One Of The Worst App Ever. Joile Pending Gharii Bugs.Yo Esewa Ko Developer Haru Sap Careless. I Just Hate This App😡😡,2023-12-02T13:04:33-07:00,5.4.4
