country,review_id,author,rating,title,review_text,date,app_version
co,14309181072,sandeshlopchan,1,Why my money does not go to other person,So irritating this if you slove this problem i will give 5 star,2026-07-16T00:15:11-07:00,5.5.42
co,14308807598,lenish malla,5,very good,wow,2026-07-15T21:34:08-07:00,5.5.42
np,14309310718,Bidurbikram,5,Good,Very nice,2026-07-16T01:10:41-07:00,5.5.42
np,14309198916,Fiona cafa,5,Good,It’s good apps,2026-07-16T00:22:50-07:00,5.5.42
np,14309006153,Sami007777,5,Very good,Very good,2026-07-15T22:59:50-07:00,5.5.42
np,14308972919,Ramro cha yo,5,Best,Best,2026-07-15T22:45:17-07:00,5.5.42
np,14308858018,Gullalado,1,Gulla,Lado jasto jun bella kam paryxa toh bella sever down hunxa,2026-07-15T21:55:30-07:00,5.5.42
np,14308813399,Suzu.htsu,5,Five stars,Very good five stars,2026-07-15T21:36:35-07:00,5.5.42
np,14308779939,Mobile servise,5,Ok,Better,2026-07-15T21:22:30-07:00,5.5.42
np,14308626401,tejmanguring,5,Good,Good,2026-07-15T20:19:52-07:00,5.5.42
np,14308406457,Smnrana,5,Suggesting,Try making it stable and informative. Overall it’s good.,2026-07-15T18:55:28-07:00,5.5.42
us,14309564444,bakqpsb,5,Good,I like the service,2026-07-16T02:53:53-07:00,5.5.42
